# chi2_tot  chi2_prior  chi2_data
   753.095     5.13703    747.958
   796.329      6.4628    789.866
   821.605     8.25543    813.349
   840.391      7.5802     832.81
   811.049     7.34242    803.706
   758.103     8.81582    749.287
   778.723     7.81518    770.908
   846.612     5.99931    840.613
   872.209     7.83789    864.371
   810.632     7.00221     803.63
   820.891      9.0952    811.796
   883.279     6.08687    877.192
   774.929      9.1543    765.774
   783.184     7.41451    775.769
   790.667     6.99586    783.671
   771.524     6.21255    765.311
   845.612     6.87094    838.741
   751.842     6.49468    745.347
   752.165     6.70324    745.462
   781.688     6.97208    774.716
    811.27     5.84105    805.429
   709.869     5.42777    704.441
   834.765     7.00796    827.757
   810.397     9.02809    801.369
   836.588     8.21316    828.375
   708.385     9.43766    698.947
   781.876      8.1058     773.77
   825.461     5.65374    819.808
   771.702     7.51094    764.191
   752.155     8.18341    743.972
   794.024     6.27146    787.752
   801.083     6.82316    794.259
   786.961     7.22677    779.734
   859.456     7.30104    852.155
   773.093     7.51153    765.582
   765.251     5.20993    760.041
   759.492     9.69467    749.797
   801.732     7.12557    794.607
   796.435     10.2752     786.16
     816.1     9.52573    806.574
    706.14     6.96905    699.171
   831.713     4.34215     827.37
   782.149     6.91368    775.236
   808.751     7.48747    801.264
   785.327     5.53276    779.794
   766.849     7.00762    759.841
   750.825     8.00629    742.819
   748.475     6.60856    741.866
   862.975     6.51319    856.462
   738.903     5.95994    732.943
   776.353     5.95368    770.399
   917.142     7.67785    909.464
   820.223     6.40396    813.819
   803.505     6.64753    796.857
   785.502     7.70085    777.801
   752.493     8.98964    743.503
   754.142     6.70516    747.437
   857.124     6.93992    850.184
   789.595     8.24407    781.351
   801.591     9.27536    792.316
   816.196     5.85969    810.337
   746.733     8.20701    738.526
   789.915     7.72991    782.185
   817.775     8.20922    809.566
   806.063     7.15058    798.912
   851.824     6.91355     844.91
   834.623     7.87877    826.744
   795.397      8.1491    787.248
    848.24     8.52588    839.714
   735.889     7.59822    728.291
   782.628     8.87752    773.751
   822.693     8.10886    814.584
   789.273     7.62692    781.646
   756.302     7.51324    748.788
   879.382     7.27192     872.11
   792.061     8.70276    783.359
   813.837     5.52918    808.307
   809.809     6.82242    802.987
   800.893     7.36345     793.53
   765.776     5.09546    760.681
   805.123     8.23221    796.891
   835.276     7.85404    827.422
   926.104     7.51455    918.589
   761.512     6.51072    755.001
   759.148     6.35698    752.791
   822.754     6.71416     816.04
   797.394     7.01847    790.376
    718.33     8.08398    710.246
   840.781     7.31914    833.461
   752.355     6.60396    745.751
   811.277     6.81808    804.459
   790.325     6.35086    783.974
   783.248     9.13657    774.111
   837.621     6.46822    831.153
   798.786     7.51375    791.272
   761.025     5.79471     755.23
   838.494     6.73292    831.761
   758.324     8.33226    749.992
   779.016     9.05063    769.965
   749.208     7.21972    741.988
   773.265     8.22273    765.042
   857.128     6.94821     850.18
   768.235     4.87233    763.363
   796.927     8.05153    788.876
   814.059     6.82572    807.233
   820.033     8.20598    811.827
   854.228     8.83298    845.395
   798.778     7.36238    791.416
   793.802     8.94267    784.859
   791.919     7.50154    784.418
   781.989     7.36614    774.622
   733.474     8.47081    725.003
   754.803     6.77054    748.033
   805.486      8.0508    797.435
   811.681     11.2277    800.453
   803.214     4.43455    798.779
   760.522      6.9145    753.607
   752.451     5.99798    746.453
   781.165     5.75914    775.406
   746.445     7.90626    738.539
   792.421     7.66799    784.753
    738.71     8.50866    730.202
   775.978     5.83651    770.142
   692.854     6.80481     686.05
   773.693     6.39921    767.293
   725.015     9.56303    715.452
   779.818     7.91641    771.902
   786.151     6.74152     779.41
   815.434     6.07279    809.361
   739.612     8.39564    731.216
   771.578     6.76079    764.817
   661.266     7.37746    653.888
   815.587     6.48185    809.106
   765.639     5.54541    760.094
   815.087     7.41433    807.672
   778.978     6.59882    772.379
     743.8      4.5571    739.243
   759.085     5.67127    753.414
   838.139     7.96852    830.171
   834.497     7.06641    827.431
   817.209     6.50737    810.702
   787.978     7.59613    780.382
   726.975     5.84384    721.131
   743.021     7.50116     735.52
   770.046     8.98462    761.061
   798.748      6.7098    792.039
   818.029     7.85604    810.173
   742.656     5.91475    736.741
   763.802     7.54245    756.259
   760.242     11.1062    749.136
   788.043     8.25531    779.788
   778.831     7.87539    770.955
   760.462     5.72704    754.735
   783.357     5.73479    777.622
   793.014       5.274     787.74
   880.756     8.23444    872.522
   766.386      6.3248    760.061
   786.753     5.05901    781.694
   847.871     8.33807    839.533
    840.49     7.09364    833.396
   818.559     4.68379    813.875
   784.828      7.1935    777.634
   788.794     5.75693    783.037
   758.173     8.00627    750.166
   806.304     6.50654    799.797
    784.66     7.23253    777.428
   789.295     7.65971    781.636
   840.151     6.52754    833.623
   793.135     6.81319    786.321
   783.759      6.4492     777.31
   789.357     9.79532    779.562
   770.932     7.09861    763.834
   840.457     7.21442    833.242
   829.324     6.99456    822.329
   798.217     9.63502    788.582
   837.717     7.88243    829.835
   755.342     8.54932    746.793
   767.519     7.93824    759.581
   849.947     6.06184    843.885
   678.559     6.17513    672.384
   762.464     9.09831    753.366
   884.485     7.60661    876.879
   791.214     5.95737    785.257
   720.343     8.44425    711.899
   724.087      5.2722    718.815
   745.078     6.29424    738.784
    821.41     6.40897    815.001
   794.269     7.93104    786.338
   747.366     7.33395    740.032
   804.615     7.92494     796.69
   765.002     8.51745    756.484
   798.543     5.08997    793.453
    813.43     7.40249    806.028
   768.307     8.24653    760.061
   771.983     5.99919    765.983
   759.451     6.67219    752.779
    789.69     7.32289    782.367
   791.504     6.37998    785.125
   815.384     3.87989    811.504
   757.712      5.3748    752.337
   702.951     8.59283    694.358
   860.736      6.8831    853.853
   851.394     8.76995    842.624
    765.85     8.63432    757.216
   818.788     6.71017    812.078
   771.289     7.19745    764.092
     785.1     5.34276    779.757
   770.946     7.48389    763.462
   742.971     5.70763    737.263
   820.446     7.50797    812.938
   742.587     5.58069    737.006
   802.375     6.53247    795.842
   779.948     9.49251    770.455
   824.414     8.66379     815.75
   785.332     8.82302    776.509
   801.543     9.44479    792.098
   849.178     6.64264    842.536
   774.222     7.59956    766.623
   821.734     7.74919    813.985
   748.968     5.86265    743.105
   771.101       7.969    763.132
    770.02      8.3518    761.668
   712.576     8.78604     703.79
   758.621     8.52025    750.101
   767.454     8.72049    758.734
   791.995     7.49054    784.504
   816.974     8.49591    808.478
   751.451     5.75721    745.693
   820.941     8.88702    812.054
   778.846     7.85696    770.989
   795.068     6.71136    788.357
   833.375     7.08561    826.289
   833.883     8.54227    825.341
    762.02     7.44134    754.578
   769.059     8.04201    761.017
    829.03     8.53105    820.499
   782.662     7.77584    774.886
   827.109     7.67461    819.435
   765.128     6.10427    759.024
   753.936     7.22024    746.716
    763.89     6.84618    757.044
    772.61     6.62073     765.99
   789.649     6.72352    782.926
   811.465     4.76949    806.696
   815.123     6.68789    808.435
   819.116     8.79423    810.322
   781.415     8.29399    773.121
   835.708     7.14568    828.562
    707.53     8.08414    699.446
   756.427      8.1334    748.293
   810.459     6.54187    803.917
   756.671     8.35105     748.32
   758.768     8.26663    750.501
    795.21     8.81493    786.395
   813.206     7.77337    805.433
   879.331     6.92716    872.404
   768.808     7.18056    761.628
   842.843     7.18137    835.661
   797.462     5.70592    791.756
   786.924     7.73687    779.187
   795.863     6.22131    789.642
   843.006      8.1847    834.822
   783.904     6.74482     777.16
   764.953     9.38107    755.572
   763.702     6.74221     756.96
   791.462     7.71603    783.746
   789.009     8.72855     780.28
    724.78     5.31009    719.469
   776.355     6.18877    770.166
   798.941     6.17521    792.766
   771.191     5.79413    765.396
   729.058     9.38966    719.669
   790.841     8.41834    782.422
   773.129     6.90905     766.22
   776.672     7.28029    769.392
   817.638     8.23498    809.403
   683.856     6.10544     677.75
   820.568     9.41318    811.154
   767.853      6.1883    761.665
   823.143     9.41786    813.725
    784.64     5.97345    778.666
   773.831     8.27686    765.554
   795.855     8.95951    786.896
   782.125     6.20874    775.916
   833.505     7.24845    826.256
   790.832     6.65942    784.173
   747.097     6.95017    740.147
   764.094     7.36876    756.726
   772.296     6.69673      765.6
   729.527     7.80752     721.72
   746.363     5.91532    740.448
   767.076     7.63037    759.446
   770.446     4.38445    766.062
   705.858     7.90399    697.954
   781.959     8.16958    773.789
   764.986     8.44632    756.539
   754.405     7.76919    746.636
   768.791     6.31718    762.474
   714.894     8.66269    706.231
   839.314     7.37684    831.937
   852.436     8.10966    844.327
   753.663     6.30108    747.362
   785.449     6.78383    778.665
   752.022     7.20317    744.819
   836.394     8.21651    828.177
   784.606     8.63696    775.969
   853.214     9.23004    843.983
     787.4     7.56485    779.835
   871.406     6.94286    864.463
   707.298     7.49178    699.806
   809.705     5.33156    804.374
   765.252     7.98653    757.265
    726.99     6.72682    720.263
   770.858     6.76388    764.094
   750.361     7.30952    743.052
    728.51     5.66551    722.845
   762.269     8.99762    753.272
