# chi2_tot  chi2_prior  chi2_data
   3462.56    0.594474    3461.97
   3530.76     1.41332    3529.35
   3627.01    0.312625     3626.7
   3470.05     0.65304     3469.4
   3525.88     1.37394     3524.5
   3455.99     2.27239    3453.72
   3388.68     1.20006    3387.48
   3624.68    0.807126    3623.87
   3545.03     1.13937    3543.89
    3687.6    0.914344    3686.68
   3464.85    0.370038    3464.48
    3524.2    0.577235    3523.63
   3597.84    0.628151    3597.21
   3507.83    0.279945    3507.55
   3538.17     1.50556    3536.66
   3540.65     2.89943    3537.75
   3586.77    0.308877    3586.46
   3592.42    0.740957    3591.68
   3633.94     1.57356    3632.36
   3570.21    0.640433    3569.57
   3557.89    0.226828    3557.66
   3508.93    0.535098    3508.39
   3540.29    0.327098    3539.96
   3568.89     0.84533    3568.05
   3612.48     1.04629    3611.43
   3565.23     1.12649     3564.1
    3534.2     1.35266    3532.85
   3495.32    0.443362    3494.88
   3551.18    0.377214    3550.81
   3436.02     1.88369    3434.14
   3483.83    0.584597    3483.25
   3496.23    0.307859    3495.92
   3507.04     1.31876    3505.72
   3438.27    0.607435    3437.67
   3473.95     1.98251    3471.96
   3681.52    0.241485    3681.28
   3610.12    0.867343    3609.25
   3471.47     1.05853    3470.42
   3501.88    0.972517    3500.91
    3553.8    0.295623    3553.51
   3475.84     1.29337    3474.55
   3566.13     1.66435    3564.47
    3524.7    0.663094    3524.03
   3630.57    0.350378    3630.22
    3618.9      1.1855    3617.71
   3545.08      1.1845     3543.9
   3356.35    0.387405    3355.97
    3646.3    0.254473    3646.04
   3548.33    0.414893    3547.92
    3557.5    0.806388    3556.69
   3487.38     1.29765    3486.08
   3578.84    0.612625    3578.23
   3531.36    0.442219    3530.92
   3531.08    0.612905    3530.47
   3503.62    0.646972    3502.97
    3538.6    0.250783    3538.35
   3534.37     1.08136    3533.29
   3393.82    0.875234    3392.94
   3417.03    0.533795     3416.5
    3446.8    0.256075    3446.54
   3652.38     0.61537    3651.76
   3374.19     2.37053    3371.82
   3617.43    0.712671    3616.72
   3680.88    0.512266    3680.36
   3594.03     0.79498    3593.24
    3606.8     1.07918    3605.72
   3719.91     1.33063    3718.58
    3587.7     1.34068    3586.36
   3351.99     0.61491    3351.37
   3607.78    0.835203    3606.95
   3512.37     1.29894    3511.07
   3525.21     1.10091    3524.11
   3513.34     0.85498    3512.49
    3439.9    0.574677    3439.32
   3582.01     0.60302    3581.41
   3597.09     1.53333    3595.56
   3625.82     1.62849    3624.19
   3512.34     1.24442     3511.1
   3573.71    0.941143    3572.77
   3573.93    0.544147    3573.39
    3598.8     1.11338    3597.69
   3494.78    0.882033    3493.89
   3508.76    0.970844    3507.79
   3676.47    0.612266    3675.86
   3545.09    0.642379    3544.45
   3673.25     1.28345    3671.97
   3579.34     1.52126    3577.82
   3532.32    0.823016     3531.5
   3562.85    0.436107    3562.42
   3475.57    0.542832    3475.03
    3518.4    0.523274    3517.88
   3523.11    0.539238    3522.57
   3559.63    0.666098    3558.96
   3642.52     1.66714    3640.85
    3509.8    0.542973    3509.26
   3611.62     1.57709    3610.04
   3628.24     1.66459    3626.58
