# chi2_tot  chi2_prior  chi2_data
   722.396     0.31229    722.084
   764.164     1.54125    762.623
   799.943     1.46855    798.474
   722.411    0.803121    721.608
   843.992    0.579549    843.412
   788.948    0.219963    788.728
   817.907    0.407749      817.5
   791.059    0.931126    790.128
   789.376     0.27151    789.104
   885.714     0.50471     885.21
   821.703    0.352519     821.35
   826.652    0.317382    826.335
   804.663    0.185244    804.477
   724.683    0.681759    724.002
   777.983    0.236074    777.747
     717.9    0.578592    717.322
   855.269    0.877416    854.392
   791.257    0.271285    790.985
   805.541     1.09953    804.441
   801.277    0.369453    800.907
   803.386    0.526715    802.859
   775.966    0.270019    775.696
   770.676    0.550524    770.125
    720.01    0.303411    719.706
   770.572    0.603597    769.968
   778.314    0.499459    777.815
   744.369     1.70163    742.667
   750.323    0.269041    750.054
    788.94    0.816892    788.123
   814.854    0.439576    814.415
   832.423    0.401714    832.022
   802.846    0.400445    802.446
   753.345    0.937605    752.407
   773.567    0.365211    773.202
    839.18    0.529198     838.65
   864.527    0.833417    863.694
   801.893    0.177095    801.716
   813.434    0.361332    813.073
   875.278   0.0890333    875.189
   770.737    0.322612    770.415
   776.205    0.433707    775.771
   780.717    0.502021    780.215
   764.282    0.881078    763.401
   843.757    0.667041    843.089
   746.172     1.16572    745.006
   747.518      1.0282     746.49
   772.177    0.294563    771.883
    803.43    0.631103    802.799
   705.183     0.29749    704.885
   827.482     0.33865    827.144
   802.458    0.787913     801.67
   828.785    0.278773    828.507
    705.09     1.23211    703.858
   776.439     1.39082    775.048
   820.155    0.775509     819.38
   761.062    0.298475    760.764
   741.503    0.464394    741.039
   789.263    0.504312    788.758
    793.42    0.711025    792.709
    777.36    0.648696    776.711
   855.938    0.117732     855.82
   766.025    0.452014    765.573
   755.945    0.362341    755.583
   750.682    0.933946    749.748
   795.452    0.501959     794.95
   788.079    0.349931     787.73
   806.852     1.54193     805.31
   699.402    0.296198    699.106
   826.209    0.583004    825.626
   773.391    0.263008    773.128
   803.292     1.00195     802.29
   778.741   0.0878532    778.653
   758.067    0.254286    757.813
    742.31    0.344719    741.965
   741.625    0.971417    740.653
   857.463    0.559484    856.904
   731.097    0.342417    730.754
   773.953    0.556563    773.397
   907.784    0.260279    907.524
   818.702    0.667106    818.035
